bibtex_key,status,archive_source,title,authors,doi
ccgrid13cloudyangyangli,extracted,2018/11/CCGrid13-cloud-YangyangLi.pdf,Energy-Saving Virtual Machine Placement in Cloud Data Centers,Jiankang Dong and Xing Jin and Hongbo Wang and Yangyang Li and Peng Zhang and Shiduan Cheng,10.1109/CCGrid.2013.107
jcupt13dcnyangyangli,review,2018/11/JCUPT13-DCN-YangyangLi.pdf,Frame-level traffic splitting for link aggregation in data center networks,"Li, Yangyang and others",10.1016/S1005-8885(13)60030-8
ccgrid13dcnyangyangli,review,2018/11/CCGrid13-DCN-YangyangLi.pdf,Operating Cost Reduction for Distributed Internet Data Centers,"Li, Yangyang and others",10.1109/CCGrid.2013.106
icdcsw13cloudyangyangli,extracted,2018/11/ICDCSW13-cloud-YangyangLi.pdf,SmartShuffle: Managing Online Virtual Machine Shuffle in Virtualized Data Centers,Centers Peng Zhang and Hongbo Wang and Junbo li and Jiankang Dong and Yangyang Li and Shiduan Cheng,10.1109/ICDCSW.2013.51
icdcsw13cloud2yangyangli,extracted,2018/11/ICDCSW13-cloud2-YangyangLi.pdf,Virtual Machine Placement for Improving Energy Efficiency and Network Performance in IaaS Cloud,Performance in IaaS Cloud Jiankang Dong and Hongbo Wang and Xing Jin and Yangyang Li and Peng Zhang and Shiduan Cheng,10.1109/ICDCSW.2013.48
pdcat12dcnyangyangli,review,2018/11/PDCAT12-DCN-YangyangLi.pdf,Application Utility-Based Bandwidth Allocation Scheme for Data Center Networks,"Li, Yangyang and others",10.1109/PDCAT.2012.55
cluster12dcnyangyangli,review,2018/11/Cluster12-DCN-YangyangLi.pdf,D4D: Inter-datacenter Bulk Transfers with ISP Friendliness,"Li, Yangyang and others",10.1109/CLUSTER.2012.44
jcupt12dcnyangyangli,review,2018/11/JCUPT12-DCN-YangyangLi.pdf,DATCP: deadline-aware TCP for the commoditized data centers,"Li, Yangyang and others",10.1016/S1005-8885(11)60318-X
jcom12dcnyangyangli,review,2019/01/JCOM12-DCN-YangyangLi.pdf,JCOM12-DCN-YangyangLi,"Li, Yangyang and others",
cluster12me2yangyangli,review,2018/11/Cluster12-me2-YangyangLi.pdf,ME2: Efficient Live Migration of Virtual Machine with Memory Exploration and Encoding,"Li, Yangyang and others",10.1109/CLUSTER.2012.52
